Task: 3, Test Name: IsHomeIconPresentInContacts, Browser chrome, Status: True
Task: 3, Test Name: ISContactLocationPresent, Browser chrome, Status: True
Task: 3, Test Name: IsMailIconPresentInContact, Browser chrome, Status: True
Task: 3, Test Name: IsEmailAddressOfContactPresent, Browser chrome, Status: True
Task: 3, Test Name: IsSelectedLanguaueEnglish, Browser chrome, Status: True
Task: 3, Test Name: IsCurrencyDollars, Browser chrome, Status: True
Task: 3, Test Name: IsEmailInputPresent, Browser chrome, Status: True
Task: 3, Test Name: IsSubmitIconPresent, Browser chrome, Status: True
Task: 3, Test Name: IsAddtionalLinksPresentByLinkName Terms and conditions, Browser chrome, Status: True
Task: 3, Test Name: IsAddtionalLinksPresentByLinkName Privacy, Browser chrome, Status: True
Task: 3, Test Name: IsApplitools2020Present, Browser chrome, Status: True
Task: 3, Test Name: IsPageHeaderPresent, Browser chrometablet, Status: True
Task: 3, Test Name: IsAppliFashionLogoPresent, Browser chrometablet, Status: True
Task: 3, Test Name: IsMainHeaderPresent Home, Browser chrometablet, Status: True
Task: 3, Test Name: IsMainHeaderPresent MEN, Browser chrometablet, Status: True
Task: 3, Test Name: IsMainHeaderPresent WOMEN, Browser chrometablet, Status: True
Task: 3, Test Name: IsMainHeaderPresent RUNNING, Browser chrometablet, Status: True
Task: 3, Test Name: IsMainHeaderPresent TRAINING, Browser chrometablet, Status: True
Task: 3, Test Name: IsSearchInputPresent, Browser chrometablet, Status: True
Task: 3, Test Name: IsSearchButtonPresent, Browser chrometablet, Status: True
Task: 3, Test Name: IsAccountIconPresentByIconName , Browser chrometablet, Status: True
Task: 3, Test Name: IsWishListIconPresentByIconName , Browser chrometablet, Status: True
Task: 3, Test Name: IsCartIconPresent, Browser chrometablet, Status: True
Task: 3, Test Name: IsCartQuantityPresent, Browser chrometablet, Status: True
Task: 3, Test Name: IsProductImagePresent, Browser chrometablet, Status: True
Task: 3, Test Name: IsProductStarReviewPresent, Browser chrometablet, Status: True
Task: 3, Test Name: Is Size label present, Browser chrometablet, Status: True
Task: 3, Test Name: Is Quantity label present, Browser chrometablet, Status: True
Task: 3, Test Name: IsProductReviewPresent, Browser chrometablet, Status: True
Task: 3, Test Name: IsSizeInputPresent, Browser chrometablet, Status: True
Task: 3, Test Name: IsSelectedsizeSmall, Browser chrometablet, Status: True
Task: 3, Test Name: IsQuantityIncreaseIconPresent, Browser chrometablet, Status: True
Task: 3, Test Name: IsQuantityDecreaseIconPresent, Browser chrometablet, Status: True
Task: 3, Test Name: IsQuantityPresent, Browser chrometablet, Status: True
Task: 3, Test Name: IsDiscountBannerPresent, Browser chrometablet, Status: True
Task: 3, Test Name: IsNewPriceCorrect, Browser chrometablet, Status: True
Task: 3, Test Name: IsOldPriceCorrect, Browser chrometablet, Status: True
